day_slot,is_randomized,weather,temperature,location,activity,jbsteps30pre_bucket,send,response,user_id,study_day,is_weekday,activity_level,zero_tendency,jbsteps30pre
4,False,Clear,temp_warm,University,STILL,steps_zero,no_send,no_send,37,19,True,mid,common,0
5,True,Clear,temp_hot,Home,STILL,steps_q5,non_activity,no_response,37,19,True,mid,common,194
1,True,Clear,temp_mild,ElectronicsStore,STILL,steps_zero,activity,good,37,20,False,mid,common,0
2,False,Overcast,temp_mild,ElectronicsStore,STILL,steps_q2,no_send,no_send,37,20,False,mid,common,53
3,False,Clear,temp_mild,FurnitureStore,STILL,steps_zero,non_activity,good,37,20,False,mid,common,0
4,False,Overcast,temp_warm,ElectronicsStore,STILL,steps_zero,no_send,no_send,37,20,False,mid,common,0
5,True,Overcast,temp_warm,ElectronicsStore,STILL,steps_q5,activity,no_response,37,20,False,mid,common,202
1,True,Overcast,temp_cold,Home,STILL,steps_q2,non_activity,no_response,37,21,False,mid,common,60
2,True,Overcast,temp_cold,Home,STILL,steps_q1,non_activity,good,37,21,False,mid,common,10
3,True,Overcast,temp_cool,Work,STILL,steps_q1,non_activity,good,37,21,False,mid,common,19
4,True,Overcast,temp_cool,Work,STILL,steps_q1,activity,good,37,21,False,mid,common,2
5,False,Overcast,temp_cold,Park,STILL,steps_q7,no_send,no_send,37,21,False,mid,common,396
1,True,Clear,temp_mild,Home,STILL,steps_zero,non_activity,no_response,37,24,True,mid,common,0
2,True,Clear,temp_mild,University,STILL,steps_zero,activity,good,37,24,True,mid,common,0
3,True,Clear,temp_mild,University,STILL,steps_q3,activity,good,37,24,True,mid,common,77
4,False,Clear,temp_mild,University,STILL,steps_q2,non_activity,no_response,37,24,True,mid,common,38
5,True,Clear,temp_mild,University,STILL,steps_zero,activity,no_response,37,24,True,mid,common,0
2,True,Overcast,temp_cold,Home,STILL,steps_q1,activity,good,37,25,True,mid,common,31
4,False,Overcast,temp_cold,Home,STILL,steps_q6,no_send,no_send,37,25,True,mid,common,269
5,True,Overcast,temp_cool,Home,STILL,steps_high,activity,good,37,25,True,mid,common,1659
1,False,Clear,temp_mild,Store,STILL,steps_zero,no_send,no_send,37,26,True,mid,common,0
2,True,Clear,temp_mild,University,STILL,steps_q1,activity,no_response,37,26,True,mid,common,27
3,False,Clear,temp_mild,Healthcare,STILL,steps_q7,no_send,no_send,37,26,True,mid,common,406
4,True,PartlyCloudy,temp_mild,FurnitureStore,ON_MOVE,steps_q6,no_send,no_send,37,26,True,mid,common,274
5,False,Clear,temp_mild,University,STILL,steps_q7,no_send,no_send,37,26,True,mid,common,334
1,True,Overcast,temp_cool,Store,STILL,steps_q1,non_activity,good,37,27,False,mid,common,26
2,False,Overcast,temp_cool,Store,STILL,steps_q1,no_send,no_send,37,27,False,mid,common,24
3,True,MostlyCloudy,temp_cool,Store,STILL,steps_q4,non_activity,good,37,27,False,mid,common,154
4,False,Overcast,temp_cool,Store,STILL,steps_q6,no_send,no_send,37,27,False,mid,common,238
5,False,Overcast,temp_cool,Store,STILL,steps_q4,no_send,no_send,37,27,False,mid,common,128
1,True,Overcast,temp_cold,Home,STILL,steps_q4,non_activity,no_response,37,28,False,mid,common,134
2,False,PartlyCloudy,temp_cold,Home,STILL,steps_q7,no_send,no_send,37,28,False,mid,common,321
3,True,MostlyCloudy,temp_cool,Home,STILL,steps_high,non_activity,good,37,28,False,mid,common,1189
4,True,Overcast,temp_cold,Home,STILL,steps_q4,activity,no_response,37,28,False,mid,common,150
5,False,Overcast,temp_cold,Home,STILL,steps_q2,no_send,no_send,37,28,False,mid,common,65
1,True,Rain,temp_warm,Home,STILL,steps_q1,non_activity,good,37,31,True,mid,common,18
2,False,Clear,temp_mild,Home,STILL,steps_q1,no_send,no_send,37,31,True,mid,common,20
3,False,Clear,temp_cool,Home,STILL,steps_q6,no_send,no_send,37,31,True,mid,common,247
4,True,Clear,temp_warm,Home,STILL,steps_q1,non_activity,no_response,37,31,True,mid,common,36
5,True,Clear,temp_warm,Home,STILL,steps_q3,activity,no_response,37,31,True,mid,common,108
1,False,Clear,temp_cool,University,STILL,steps_q4,no_send,no_send,37,32,True,mid,common,123
3,False,Clear,temp_cool,University,STILL,steps_zero,no_send,no_send,37,32,True,mid,common,0
4,False,Clear,temp_cold,University,STILL,steps_q2,non_activity,good,37,32,True,mid,common,67
5,True,MostlyCloudy,temp_cool,Home,STILL,steps_q1,non_activity,good,37,32,True,mid,common,24
1,True,MostlyCloudy,temp_cool,University,STILL,steps_zero,activity,good,37,33,True,mid,common,0
2,False,Overcast,temp_cool,University,STILL,steps_q1,no_send,no_send,37,33,True,mid,common,21
3,True,MostlyCloudy,temp_cool,University,STILL,steps_q1,activity,good,37,33,True,mid,common,24
4,False,PartlyCloudy,temp_cool,University,STILL,steps_zero,no_send,no_send,37,33,True,mid,common,0
5,True,Overcast,temp_cool,University,STILL,steps_q6,non_activity,no_response,37,33,True,mid,common,261
1,True,Clear,temp_warm,ElectronicsStore,STILL,steps_high,activity,good,37,34,False,mid,common,1135
3,True,Clear,temp_hot,Home,STILL,steps_q8,non_activity,good,37,34,False,mid,common,684
4,False,Clear,temp_hot,Home,STILL,steps_q7,no_send,no_send,37,34,False,mid,common,398
5,False,Clear,temp_hot,Home,STILL,steps_q4,no_send,no_send,37,34,False,mid,common,147
1,False,Overcast,temp_cold,Home,STILL,steps_q7,no_send,no_send,37,36,True,mid,common,441
2,False,PartlyCloudy,temp_cold,Home,STILL,steps_q1,no_send,no_send,37,36,True,mid,common,14
3,True,Clear,temp_cool,Home,STILL,steps_q2,activity,no_response,37,36,True,mid,common,69
4,True,Clear,temp_cold,Work,STILL,steps_q7,activity,good,37,36,True,mid,common,413
5,False,Clear,temp_cool,Home,STILL,steps_q7,no_send,no_send,37,36,True,mid,common,394
1,False,MostlyCloudy,temp_cool,Home,STILL,steps_zero,no_send,no_send,37,39,True,mid,common,0
2,True,PartlyCloudy,temp_cool,Home,STILL,steps_q8,non_activity,no_response,37,39,True,mid,common,717
4,True,Overcast,temp_cool,Home,STILL,steps_q4,non_activity,no_response,37,39,True,mid,common,151
1,False,Clear,temp_hot,University,STILL,steps_q4,no_send,no_send,37,41,False,mid,common,151
2,True,Clear,temp_hot,University,STILL,steps_q1,non_activity,bad,37,41,False,mid,common,30
3,False,Clear,temp_hot,University,STILL,steps_q1,no_send,no_send,37,41,False,mid,common,18
4,False,Clear,temp_hot,Home,STILL,steps_q1,no_send,no_send,37,41,False,mid,common,29
5,False,Clear,temp_warm,Home,STILL,steps_q5,no_send,no_send,37,41,False,mid,common,172
1,False,Overcast,temp_mild,Healthcare,STILL,steps_q4,no_send,no_send,38,1,True,mid,common,159
2,True,Overcast,temp_mild,Healthcare,STILL,steps_zero,non_activity,bad,38,1,True,mid,common,0
3,True,Overcast,temp_mild,Healthcare,STILL,steps_q2,non_activity,bad,38,1,True,mid,common,62
4,True,MostlyCloudy,temp_cool,Healthcare,STILL,steps_q3,non_activity,no_response,38,1,True,mid,common,99
5,False,MostlyCloudy,temp_mild,University,STILL,steps_q6,no_send,no_send,38,1,True,mid,common,265
2,False,Overcast,temp_cold,Restaurant,STILL,steps_q5,non_activity,no_response,38,2,True,mid,common,217
4,True,Overcast,temp_cold,Home,STILL,steps_q2,activity,good,38,2,True,mid,common,64
5,True,Overcast,temp_cool,Restaurant,STILL,steps_q7,non_activity,no_response,38,2,True,mid,common,456
1,True,Clear,temp_mild,Home,STILL,steps_zero,non_activity,good,38,3,True,mid,common,0
2,False,Clear,temp_cool,University,STILL,steps_q3,no_send,no_send,38,3,True,mid,common,84
3,True,PartlyCloudy,temp_mild,Home,STILL,steps_q2,non_activity,no_response,38,3,True,mid,common,44
4,False,Clear,temp_mild,University,STILL,steps_q5,no_send,no_send,38,3,True,mid,common,173
5,True,Overcast,temp_warm,Home,STILL,steps_q4,activity,no_response,38,3,True,mid,common,116
1,True,Clear,temp_mild,Home,STILL,steps_zero,non_activity,no_response,38,4,True,mid,common,0
2,True,PartlyCloudy,temp_cool,Work,STILL,steps_q2,non_activity,good,38,4,True,mid,common,56
3,True,PartlyCloudy,temp_mild,Home,STILL,steps_zero,non_activity,good,38,4,True,mid,common,0
4,False,Clear,temp_cool,University,STILL,steps_zero,no_send,no_send,38,4,True,mid,common,0
5,True,Clear,temp_mild,University,STILL,steps_q5,non_activity,no_response,38,4,True,mid,common,231
1,False,Overcast,temp_mild,Home,STILL,steps_q4,no_send,no_send,38,6,False,mid,common,138
2,True,Overcast,temp_mild,Home,STILL,steps_zero,non_activity,no_response,38,6,False,mid,common,0
3,False,Clear,temp_mild,Home,STILL,steps_q1,no_send,no_send,38,6,False,mid,common,20
4,True,Overcast,temp_mild,Home,STILL,steps_q4,non_activity,good,38,6,False,mid,common,116
5,True,MostlyCloudy,temp_warm,Home,STILL,steps_q1,activity,good,38,6,False,mid,common,14
1,True,Clear,temp_mild,University,STILL,steps_q4,non_activity,good,38,8,True,mid,common,126
2,True,Clear,temp_cool,University,STILL,steps_zero,activity,no_response,38,8,True,mid,common,0
4,True,Clear,temp_cool,Home,STILL,steps_high,activity,no_response,38,8,True,mid,common,1120
5,True,Clear,temp_cool,Home,STILL,steps_q5,activity,no_response,38,8,True,mid,common,207
1,True,MostlyCloudy,temp_mild,Home,STILL,steps_zero,non_activity,no_response,38,9,True,mid,common,0
2,True,PartlyCloudy,temp_warm,Work,STILL,steps_q4,non_activity,no_response,38,9,True,mid,common,127
3,False,PartlyCloudy,temp_warm,Home,STILL,steps_q2,no_send,no_send,38,9,True,mid,common,47
4,True,Clear,temp_mild,Home,STILL,steps_zero,activity,good,38,9,True,mid,common,0
5,True,Clear,temp_warm,Store,STILL,steps_q8,activity,no_response,38,9,True,mid,common,475
1,False,MostlyCloudy,temp_mild,Home,STILL,steps_q1,no_send,no_send,38,10,True,mid,common,22
2,True,MostlyCloudy,temp_mild,Home,STILL,steps_q4,activity,good,38,10,True,mid,common,116
3,False,MostlyCloudy,temp_mild,Home,STILL,steps_q3,no_send,no_send,38,10,True,mid,common,110
4,True,MostlyCloudy,temp_cool,Home,STILL,steps_q8,activity,good,38,10,True,mid,common,683
5,False,Clear,temp_cool,Home,STILL,steps_q7,no_send,no_send,38,10,True,mid,common,356
1,False,Overcast,temp_cold,Store,STILL,steps_q1,no_send,no_send,38,12,True,mid,common,33
2,True,Overcast,temp_cold,Store,STILL,steps_q7,non_activity,good,38,12,True,mid,common,362
4,False,Overcast,temp_cool,ElectronicsStore,STILL,steps_q2,no_send,no_send,38,12,True,mid,common,61
5,True,Overcast,temp_cold,Store,STILL,steps_q7,activity,no_response,38,12,True,mid,common,378
2,True,Clear,temp_cool,Store,ON_MOVE,steps_q1,no_send,no_send,38,13,False,mid,common,26
3,False,Clear,temp_cool,Store,STILL,steps_zero,no_send,no_send,38,13,False,mid,common,0
4,True,Clear,temp_cool,Store,STILL,steps_q5,non_activity,no_response,38,13,False,mid,common,227
5,False,Clear,temp_cool,Store,STILL,steps_q5,no_send,no_send,38,13,False,mid,common,228
1,False,Clear,temp_cool,University,STILL,steps_zero,no_send,no_send,38,14,False,mid,common,0
2,True,Clear,temp_cold,ClothingStore,STILL,steps_zero,non_activity,bad,38,14,False,mid,common,0
3,True,Clear,temp_cool,Home,ON_MOVE,steps_q5,no_send,no_send,38,14,False,mid,common,169
4,False,Clear,temp_cool,University,STILL,steps_zero,no_send,no_send,38,14,False,mid,common,0
5,False,Clear,temp_cool,Home,STILL,steps_q4,no_send,no_send,38,14,False,mid,common,131
1,False,Clear,temp_cool,University,STILL,steps_zero,no_send,no_send,38,15,True,mid,common,0
2,False,Clear,temp_mild,Work,STILL,steps_q5,no_send,no_send,38,15,True,mid,common,201
3,True,Clear,temp_mild,Work,STILL,steps_zero,activity,no_response,38,15,True,mid,common,0
4,True,Clear,temp_cool,Work,STILL,steps_q7,non_activity,no_response,38,15,True,mid,common,347
5,True,Clear,temp_warm,Work,STILL,steps_q5,activity,no_response,38,15,True,mid,common,207
1,True,Clear,temp_warm,Home,STILL,steps_q1,non_activity,no_response,38,16,True,mid,common,15
3,True,Clear,temp_warm,Home,STILL,steps_q3,non_activity,no_response,38,16,True,mid,common,104
4,False,Clear,temp_warm,Restaurant,STILL,steps_q3,no_send,no_send,38,16,True,mid,common,89
5,False,Clear,temp_warm,Home,STILL,steps_q5,no_send,no_send,38,16,True,mid,common,198
1,True,Clear,temp_hot,University,STILL,steps_q8,activity,good,38,17,True,mid,common,496
2,True,Clear,temp_warm,University,STILL,steps_zero,non_activity,good,38,17,True,mid,common,0
3,True,Clear,temp_warm,University,STILL,steps_q1,non_activity,no_response,38,17,True,mid,common,31
4,True,Clear,temp_warm,University,STILL,steps_high,non_activity,no_response,38,17,True,mid,common,1734
5,False,MostlyCloudy,temp_warm,University,STILL,steps_zero,no_send,no_send,38,17,True,mid,common,0
1,True,MostlyCloudy,temp_cool,Healthcare,STILL,steps_q1,activity,good,38,19,True,mid,common,26
2,False,Overcast,temp_mild,Restaurant,STILL,steps_q8,no_send,no_send,38,19,True,mid,common,803
3,True,Overcast,temp_mild,Healthcare,STILL,steps_zero,activity,good,38,19,True,mid,common,0
4,True,Overcast,temp_mild,Work,STILL,steps_zero,non_activity,good,38,19,True,mid,common,0
5,False,Overcast,temp_mild,Healthcare,STILL,steps_q6,no_send,no_send,38,19,True,mid,common,304
1,False,MostlyCloudy,temp_cool,University,STILL,steps_q4,no_send,no_send,38,20,False,mid,common,128
2,True,PartlyCloudy,temp_cool,Store,STILL,steps_q2,activity,good,38,20,False,mid,common,38
3,True,Clear,temp_cool,Store,STILL,steps_zero,activity,good,38,20,False,mid,common,0
4,False,Clear,temp_cool,Healthcare,STILL,steps_zero,no_send,no_send,38,20,False,mid,common,0
5,True,Clear,temp_cool,Healthcare,STILL,steps_q3,activity,good,38,20,False,mid,common,83
2,True,PartlyCloudy,temp_cool,Work,STILL,steps_q1,activity,good,38,22,True,mid,common,29
4,True,Clear,temp_cool,Work,STILL,steps_q1,non_activity,good,38,22,True,mid,common,26
5,False,Clear,temp_cool,Work,STILL,steps_zero,no_send,no_send,38,22,True,mid,common,0
1,True,PartlyCloudy,temp_warm,University,STILL,steps_zero,activity,no_response,38,23,True,mid,common,0
2,True,Clear,temp_mild,Home,STILL,steps_q8,activity,no_response,38,23,True,mid,common,547
3,True,MostlyCloudy,temp_mild,University,STILL,steps_high,activity,good,38,23,True,mid,common,1063
4,True,Clear,temp_mild,Work,STILL,steps_high,non_activity,good,38,23,True,mid,common,1100
5,False,Overcast,temp_warm,Work,STILL,steps_q4,no_send,no_send,38,23,True,mid,common,122
1,False,Clear,temp_hot,Home,STILL,steps_q4,no_send,no_send,38,24,True,mid,common,127
2,True,Clear,temp_hot,Work,STILL,steps_q3,non_activity,no_response,38,24,True,mid,common,92
3,False,Clear,temp_hot,Home,STILL,steps_q6,no_send,no_send,38,24,True,mid,common,279
4,True,Overcast,temp_mild,Restaurant,STILL,steps_q8,activity,good,38,24,True,mid,common,706
5,False,Clear,temp_warm,Home,STILL,steps_zero,no_send,no_send,38,24,True,mid,common,0
1,False,Overcast,temp_cool,Home,STILL,steps_q7,no_send,no_send,38,28,False,mid,common,320
2,False,Overcast,temp_cool,Home,STILL,steps_q4,no_send,no_send,38,28,False,mid,common,131
3,False,Overcast,temp_cool,Home,STILL,steps_q7,no_send,no_send,38,28,False,mid,common,418
4,True,Overcast,temp_cold,Home,STILL,steps_q5,activity,no_response,38,28,False,mid,common,191
5,False,Overcast,temp_cool,Park,STILL,steps_q5,no_send,no_send,38,28,False,mid,common,186
1,True,Rain,temp_mild,Healthcare,STILL,steps_q4,activity,no_response,38,30,True,mid,common,125
2,False,Overcast,temp_hot,Home,STILL,steps_zero,no_send,no_send,38,30,True,mid,common,0
3,True,Overcast,temp_hot,Home,ON_MOVE,steps_zero,no_send,no_send,38,30,True,mid,common,0
4,True,Clear,temp_hot,Healthcare,STILL,steps_q6,activity,no_response,38,30,True,mid,common,267
5,False,MostlyCloudy,temp_hot,University,ON_MOVE,steps_q1,no_send,no_send,38,30,True,mid,common,29
1,False,Clear,temp_cold,University,STILL,steps_q3,no_send,no_send,38,33,True,mid,common,85
2,True,Clear,temp_cold,University,STILL,steps_zero,non_activity,good,38,33,True,mid,common,0
3,False,Clear,temp_cold,Park,STILL,steps_q2,no_send,no_send,38,33,True,mid,common,48
4,False,Clear,temp_cool,University,STILL,steps_q2,no_send,no_send,38,33,True,mid,common,58
5,False,Clear,temp_cool,Park,STILL,steps_q6,no_send,no_send,38,33,True,mid,common,303
1,False,Rain,temp_mild,Home,STILL,steps_zero,activity,no_response,38,35,False,mid,common,0
2,False,MostlyCloudy,temp_mild,Home,STILL,steps_q1,no_send,no_send,38,35,False,mid,common,12
4,True,Overcast,temp_warm,Store,ON_MOVE,steps_q7,no_send,no_send,38,35,False,mid,common,362
5,True,Overcast,temp_mild,Work,STILL,steps_q3,activity,no_response,38,35,False,mid,common,75
3,True,Overcast,temp_cool,Home,STILL,steps_high,activity,good,38,37,True,mid,common,1653
4,False,Overcast,temp_cool,Home,STILL,steps_high,no_send,no_send,38,37,True,mid,common,4305
5,True,Overcast,temp_cool,Home,STILL,steps_zero,non_activity,no_response,38,37,True,mid,common,0
2,False,Clear,temp_cool,Home,STILL,steps_q1,no_send,no_send,38,38,True,mid,common,2
3,True,Clear,temp_cool,University,STILL,steps_q4,non_activity,no_response,38,38,True,mid,common,127
4,True,Clear,temp_cool,Home,STILL,steps_q4,non_activity,bad,38,38,True,mid,common,162
1,False,Clear,temp_mild,Healthcare,STILL,steps_q6,no_send,no_send,38,39,True,mid,common,265
2,True,Clear,temp_cool,Healthcare,STILL,steps_zero,activity,no_response,38,39,True,mid,common,0
3,True,MostlyCloudy,temp_mild,Healthcare,STILL,steps_zero,activity,no_response,38,39,True,mid,common,0
4,False,PartlyCloudy,temp_mild,Healthcare,STILL,steps_q1,no_send,no_send,38,39,True,mid,common,21
5,True,Clear,temp_mild,Healthcare,STILL,steps_q5,non_activity,no_response,38,39,True,mid,common,222
1,True,Clear,temp_cool,Work,STILL,steps_q1,non_activity,no_response,38,40,True,mid,common,19
2,True,Clear,temp_cool,Work,STILL,steps_q5,non_activity,no_response,38,40,True,mid,common,227
3,False,PartlyCloudy,temp_mild,University,STILL,steps_zero,no_send,no_send,38,40,True,mid,common,0
4,False,Clear,temp_cool,Work,STILL,steps_zero,no_send,no_send,38,40,True,mid,common,0
5,True,Clear,temp_cool,Home,STILL,steps_q1,non_activity,no_response,38,40,True,mid,common,23
1,False,Clear,temp_hot,Restaurant,STILL,steps_q2,no_send,no_send,38,41,False,mid,common,55
2,False,PartlyCloudy,temp_warm,Work,STILL,steps_zero,no_send,no_send,38,41,False,mid,common,0
3,False,MostlyCloudy,temp_warm,Restaurant,STILL,steps_q1,activity,no_response,38,41,False,mid,common,3
4,True,MostlyCloudy,temp_warm,Home,STILL,steps_q6,non_activity,bad,38,41,False,mid,common,290
5,False,Clear,temp_hot,Work,STILL,steps_q4,no_send,no_send,38,41,False,mid,common,132
1,True,Overcast,temp_cold,Home,STILL,steps_high,activity,bad,38,42,False,mid,common,3087
2,True,Overcast,temp_cold,Home,STILL,steps_q4,non_activity,no_response,38,42,False,mid,common,146
4,True,Overcast,temp_cool,Work,STILL,steps_zero,activity,good,38,42,False,mid,common,0
5,False,Overcast,temp_cool,Work,STILL,steps_q8,no_send,no_send,38,42,False,mid,common,619
2,True,Clear,temp_cold,University,STILL,steps_q7,activity,no_response,39,3,True,high,common,430
3,True,Rain,temp_cold,University,STILL,steps_q2,non_activity,no_response,39,3,True,high,common,62
4,False,MostlyCloudy,temp_cool,Healthcare,STILL,steps_q4,non_activity,no_response,39,3,True,high,common,129
5,True,PartlyCloudy,temp_cold,University,STILL,steps_q4,non_activity,no_response,39,3,True,high,common,122
1,False,MostlyCloudy,temp_mild,Home,STILL,steps_q4,no_send,no_send,39,4,True,high,common,133
2,True,PartlyCloudy,temp_warm,University,STILL,steps_q2,activity,good,39,4,True,high,common,66
3,True,MostlyCloudy,temp_mild,Work,STILL,steps_q8,non_activity,good,39,4,True,high,common,617
4,True,Clear,temp_hot,Work,STILL,steps_q3,activity,good,39,4,True,high,common,91
5,False,Clear,temp_hot,Home,STILL,steps_q6,no_send,no_send,39,4,True,high,common,311
1,False,Clear,temp_cool,Store,STILL,steps_q4,no_send,no_send,39,6,False,high,common,144
3,True,Clear,temp_cool,Work,STILL,steps_q7,non_activity,no_response,39,6,False,high,common,381
4,True,Overcast,temp_cool,Healthcare,STILL,steps_q2,non_activity,good,39,6,False,high,common,38
5,False,Clear,temp_cool,Healthcare,STILL,steps_q1,no_send,no_send,39,6,False,high,common,19
1,True,Clear,temp_mild,Home,STILL,steps_zero,activity,good,39,7,False,high,common,0
2,True,Clear,temp_mild,Store,STILL,steps_q7,non_activity,no_response,39,7,False,high,common,331
3,True,Clear,temp_mild,Home,STILL,steps_q7,non_activity,no_response,39,7,False,high,common,442
4,True,Clear,temp_mild,Store,STILL,steps_q4,non_activity,good,39,7,False,high,common,125
5,True,Clear,temp_mild,Store,STILL,steps_q5,activity,good,39,7,False,high,common,202
1,True,Clear,temp_cold,Work,STILL,steps_q6,non_activity,no_response,39,8,True,high,common,310
3,True,MostlyCloudy,temp_cool,Work,STILL,steps_q1,activity,no_response,39,8,True,high,common,36
4,True,MostlyCloudy,temp_cold,Work,STILL,steps_q1,activity,good,39,8,True,high,common,12
5,False,Clear,temp_cool,Store,STILL,steps_q8,no_send,no_send,39,8,True,high,common,559
1,True,MostlyCloudy,temp_cool,Home,STILL,steps_q5,non_activity,good,39,11,True,high,common,227
2,True,Clear,temp_cool,Home,STILL,steps_q2,non_activity,good,39,11,True,high,common,50
3,False,Overcast,temp_mild,Home,STILL,steps_zero,no_send,no_send,39,11,True,high,common,0
4,False,Overcast,temp_cool,University,STILL,steps_q3,no_send,no_send,39,11,True,high,common,98
5,False,MostlyCloudy,temp_cool,Healthcare,STILL,steps_q3,no_send,no_send,39,11,True,high,common,86
1,True,Overcast,temp_cold,Unknown,STILL,steps_zero,non_activity,no_response,39,12,True,high,common,0
3,True,Overcast,temp_cold,Unknown,STILL,steps_q7,activity,good,39,12,True,high,common,317
4,True,Overcast,temp_cold,Unknown,STILL,steps_q5,non_activity,good,39,12,True,high,common,179
5,False,MostlyCloudy,temp_cold,Unknown,STILL,steps_q6,no_send,no_send,39,12,True,high,common,234
1,True,Overcast,temp_cold,Home,STILL,steps_q4,non_activity,good,39,14,False,high,common,152
2,True,PartlyCloudy,temp_cool,Work,STILL,steps_zero,non_activity,no_response,39,14,False,high,common,0
3,True,Overcast,temp_cool,Home,STILL,steps_q4,activity,good,39,14,False,high,common,119
4,True,Rain,temp_cool,Work,STILL,steps_q6,non_activity,no_response,39,14,False,high,common,306
5,True,Overcast,temp_cool,Home,STILL,steps_q5,activity,good,39,14,False,high,common,190
1,True,MostlyCloudy,temp_hot,Home,STILL,steps_q3,non_activity,bad,39,16,True,high,common,110
2,False,MostlyCloudy,temp_warm,Home,STILL,steps_q2,no_send,no_send,39,16,True,high,common,42
3,False,PartlyCloudy,temp_mild,Home,STILL,steps_q7,no_send,no_send,39,16,True,high,common,332
4,True,MostlyCloudy,temp_hot,Home,STILL,steps_q1,activity,good,39,16,True,high,common,19
5,False,Clear,temp_hot,Home,STILL,steps_q6,non_activity,good,39,16,True,high,common,284
1,True,Overcast,temp_cold,Store,STILL,steps_zero,non_activity,good,39,17,True,high,common,0
2,False,Overcast,temp_cold,Home,STILL,steps_zero,no_send,no_send,39,17,True,high,common,0
3,True,Clear,temp_cold,Work,STILL,steps_q2,non_activity,bad,39,17,True,high,common,58
4,True,Overcast,temp_cold,Store,STILL,steps_q6,non_activity,good,39,17,True,high,common,273
5,False,Overcast,temp_cold,Home,STILL,steps_zero,no_send,no_send,39,17,True,high,common,0
1,True,Clear,temp_mild,Healthcare,STILL,steps_q2,non_activity,good,39,18,True,high,common,60
2,True,Clear,temp_mild,Store,STILL,steps_q8,non_activity,no_response,39,18,True,high,common,517
3,True,Clear,temp_mild,Healthcare,STILL,steps_zero,non_activity,no_response,39,18,True,high,common,0
4,True,Clear,temp_cool,Store,STILL,steps_zero,non_activity,good,39,18,True,high,common,0
5,False,Clear,temp_cool,Healthcare,STILL,steps_q4,no_send,no_send,39,18,True,high,common,134
1,True,MostlyCloudy,temp_mild,Healthcare,STILL,steps_q6,non_activity,bad,39,19,True,high,common,280
2,True,MostlyCloudy,temp_mild,Restaurant,STILL,steps_q1,non_activity,bad,39,19,True,high,common,20
3,False,MostlyCloudy,temp_mild,Store,STILL,steps_q1,no_send,no_send,39,19,True,high,common,18
4,False,Clear,temp_mild,Store,STILL,steps_q2,no_send,no_send,39,19,True,high,common,44
5,True,MostlyCloudy,temp_mild,Healthcare,ON_MOVE,steps_q1,no_send,no_send,39,19,True,high,common,20
1,True,PartlyCloudy,temp_mild,Home,STILL,steps_zero,activity,no_response,39,20,False,high,common,0
2,False,PartlyCloudy,temp_warm,Home,STILL,steps_high,no_send,no_send,39,20,False,high,common,1194
3,False,PartlyCloudy,temp_warm,Home,STILL,steps_q8,no_send,no_send,39,20,False,high,common,741
4,True,PartlyCloudy,temp_warm,Home,STILL,steps_q7,activity,good,39,20,False,high,common,326
5,False,PartlyCloudy,temp_mild,Work,STILL,steps_q5,no_send,no_send,39,20,False,high,common,172
1,True,Clear,temp_cool,Restaurant,STILL,steps_high,non_activity,good,39,21,False,high,common,4526
2,True,Clear,temp_cool,Healthcare,STILL,steps_q7,non_activity,good,39,21,False,high,common,428
3,True,Clear,temp_cool,Restaurant,STILL,steps_q8,activity,good,39,21,False,high,common,780
4,False,Clear,temp_cool,Healthcare,STILL,steps_q2,no_send,no_send,39,21,False,high,common,67
5,False,Clear,temp_cool,Healthcare,STILL,steps_zero,no_send,no_send,39,21,False,high,common,0
1,True,PartlyCloudy,temp_mild,University,STILL,steps_zero,activity,no_response,39,24,True,high,common,0
2,True,Rain,temp_mild,University,STILL,steps_zero,non_activity,no_response,39,24,True,high,common,0
3,True,PartlyCloudy,temp_mild,Home,STILL,steps_q5,non_activity,good,39,24,True,high,common,199
4,True,PartlyCloudy,temp_mild,University,STILL,steps_zero,non_activity,good,39,24,True,high,common,0
5,False,PartlyCloudy,temp_mild,University,STILL,steps_zero,no_send,no_send,39,24,True,high,common,0
1,False,Clear,temp_cold,Home,STILL,steps_zero,no_send,no_send,39,25,True,high,common,0
2,False,Overcast,temp_cool,Work,STILL,steps_zero,no_send,no_send,39,25,True,high,common,0
3,False,Overcast,temp_cool,Home,STILL,steps_q1,no_send,no_send,39,25,True,high,common,16
4,True,Overcast,temp_cool,Home,STILL,steps_q2,activity,no_response,39,25,True,high,common,54
5,True,PartlyCloudy,temp_cool,Home,STILL,steps_zero,non_activity,good,39,25,True,high,common,0
1,True,Overcast,temp_cool,University,STILL,steps_q7,non_activity,no_response,39,29,True,high,common,323
2,True,Overcast,temp_mild,Restaurant,STILL,steps_q7,non_activity,no_response,39,29,True,high,common,317
3,True,Overcast,temp_mild,University,STILL,steps_q1,activity,good,39,29,True,high,common,25
4,False,Overcast,temp_cool,University,STILL,steps_q7,no_send,no_send,39,29,True,high,common,337
5,True,Overcast,temp_cool,University,STILL,steps_high,activity,good,39,29,True,high,common,1453
1,False,MostlyCloudy,temp_mild,Home,STILL,steps_q7,no_send,no_send,39,32,True,high,common,368
2,True,PartlyCloudy,temp_hot,Work,STILL,steps_high,activity,bad,39,32,True,high,common,1532
3,True,Clear,temp_hot,Work,STILL,steps_zero,non_activity,bad,39,32,True,high,common,0
4,True,Clear,temp_hot,Restaurant,STILL,steps_q3,activity,good,39,32,True,high,common,88
